TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud,TxnDay,TxnMonth,TxnWeekday,IsWeekend,TransactionType_enc,Location_enc,MerchantFraudRate,LocationFraudRate
1,2024-04-03,4189.27,688,refund,San Antonio,0,3,4,2,0,1,7,0.0,0.009838998211091235
2,2024-03-19,2659.71,109,refund,Dallas,0,19,3,1,0,1,1,0.008695652173913044,0.009825327510917031
3,2024-01-08,784.0,394,purchase,New York,0,8,1,0,0,0,4,0.011764705882352941,0.011608125687981587
4,2024-04-13,3514.4,944,purchase,Philadelphia,0,13,4,5,1,0,5,0.0,0.009115770282588878
5,2024-07-12,369.07,475,purchase,Phoenix,0,12,7,4,0,0,6,0.010638297872340425,0.009939759036144578
6,2024-08-30,3086.22,302,purchase,New York,0,30,8,4,0,0,4,0.0,0.011608125687981587
7,2024-01-02,1466.9,902,refund,Philadelphia,0,2,1,1,0,1,5,0.01098901098901099,0.009115770282588878
8,2024-05-12,917.21,266,purchase,New York,0,12,5,6,1,0,4,0.01834862385321101,0.011608125687981587
9,2023-11-16,1625.73,32,refund,Chicago,0,16,11,3,0,1,0,0.025,0.009320121652114197
10,2023-10-24,662.07,193,purchase,Dallas,0,24,10,1,0,0,1,0.0,0.009825327510917031
11,2024-08-10,3895.94,349,refund,San Antonio,0,10,8,5,1,1,7,0.0,0.009838998211091235
12,2024-08-27,944.94,359,purchase,San Jose,0,27,8,1,0,0,9,0.0,0.00887302396736359
13,2024-08-31,2855.69,219,refund,New York,0,31,8,5,1,1,4,0.010638297872340425,0.011608125687981587
14,2023-11-12,4313.82,617,refund,San Jose,0,12,11,6,1,1,9,0.010416666666666666,0.00887302396736359
15,2024-07-13,4599.06,529,refund,Philadelphia,0,13,7,5,1,1,5,0.010101010101010102,0.009115770282588878
16,2024-03-23,1524.05,462,purchase,San Diego,0,23,3,5,1,0,8,0.018518518518518517,0.011373751359905053
17,2024-01-04,2721.95,912,refund,New York,0,4,1,3,0,1,4,0.01680672268907563,0.011608125687981587
18,2023-11-05,1357.76,522,refund,New York,0,5,11,6,1,1,4,0.010101010101010102,0.011608125687981587
19,2024-02-29,4726.01,456,purchase,Dallas,0,29,2,3,0,0,1,0.018518518518518517,0.009825327510917031
20,2024-01-16,1814.95,134,refund,Houston,0,16,1,1,0,1,2,0.02,0.010509458512661395
21,2024-01-19,269.8,51,refund,San Jose,0,19,1,4,0,1,9,0.009523809523809525,0.00887302396736359
22,2024-05-18,512.1,196,purchase,Philadelphia,0,18,5,5,1,0,5,0.01020408163265306,0.009115770282588878
23,2024-04-13,2932.64,813,refund,Chicago,0,13,4,5,1,1,0,0.0,0.009320121652114197
24,2024-03-22,1177.11,878,refund,Philadelphia,0,22,3,4,0,1,5,0.02459016393442623,0.009115770282588878
25,2024-07-15,3661.74,521,purchase,Dallas,0,15,7,0,0,0,1,0.009615384615384616,0.009825327510917031
26,2024-10-10,3664.95,348,purchase,San Antonio,0,10,10,3,0,0,7,0.0,0.009838998211091235
27,2024-09-22,4186.42,725,purchase,New York,0,22,9,6,1,0,4,0.009900990099009901,0.011608125687981587
28,2024-08-18,1542.27,44,purchase,Houston,0,18,8,6,1,0,2,0.01694915254237288,0.010509458512661395
29,2024-06-23,4360.74,605,refund,Chicago,0,23,6,6,1,1,0,0.01904761904761905,0.009320121652114197
30,2024-06-12,862.62,347,purchase,San Diego,0,12,6,2,0,0,8,0.02040816326530612,0.011373751359905053
31,2024-07-24,1062.73,595,refund,Chicago,0,24,7,2,0,1,0,0.008620689655172414,0.009320121652114197
32,2024-07-04,4162.63,163,purchase,San Jose,0,4,7,3,0,0,9,0.0,0.00887302396736359
33,2024-07-22,3439.54,781,refund,San Antonio,0,22,7,0,0,1,7,0.0,0.009838998211091235
34,2024-06-08,3953.72,510,purchase,Phoenix,0,8,6,5,1,0,6,0.0,0.009939759036144578
35,2024-05-17,516.14,469,refund,San Diego,0,17,5,4,0,1,8,0.0,0.011373751359905053
36,2024-07-28,1069.35,322,refund,Phoenix,0,28,7,6,1,1,6,0.010638297872340425,0.009939759036144578
37,2024-04-09,1951.61,991,refund,Philadelphia,0,9,4,1,0,1,5,0.0,0.009115770282588878
38,2024-05-27,2084.95,369,refund,San Jose,0,27,5,0,0,1,9,0.0,0.00887302396736359
39,2024-08-09,3204.04,663,purchase,Houston,0,9,8,4,0,0,2,0.011494252873563218,0.010509458512661395
